Package Name;Avg. LOC;Versions;Flagged;FP;Found
\texttt{pm-controls};90,930;159;4;1.9;\Checkmark
\texttt{conventional-changelog};534;101;1;0.0;\Checkmark
\texttt{ua-parser-js};979;71;2;1.4;\Checkmark
\texttt{rpc-websocket};2,844;34;1;0.0;\Checkmark
\texttt{kraken-api};179;20;1;0.0;\Checkmark
\texttt{eslint-scope};2,295;20;1;0.0;\Checkmark
\texttt{vue-backbone};595;4;1;0.0;\Checkmark
\texttt{getcookies};88;4;1;0.0;\Checkmark
\texttt{flatmap-stream};93;3;1;0.0;\Checkmark
